Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P, worstReal, worstBinaer1P, worstBinaer2P
47,26.064768545175443,2.7133092788498825,4.177856242459381,26.26833274903606,3.8116704838765236,7.696996159661491
48,26.034681112253725,2.6129419731306194,4.01730583612145,26.23778478538488,3.65008632203768,7.3302333405375
49,25.995921038388246,2.495165189042002,3.8717431067779042,26.20701491136582,3.492612955174227,6.965588520361344
50,25.963405433461716,2.4023546018447783,3.7024053737571614,26.17634144454017,3.355920704277614,6.624320396397808
51,25.932350409478143,2.2662845831096776,3.512708030869303,26.145554755445964,3.2279735052645675,6.2917827732212075
52,25.902337266803965,2.1704805202203823,3.395504086858353,26.115374111860703,3.113529317878148,5.999486972188246
53,25.862941382579137,2.111674256403479,3.2217419658736617,26.085024668601278,2.997681691411353,5.735109692532245
54,25.834793925987405,2.0389549645411686,3.0799910570173354,26.05295700801027,2.872922569093951,5.483733703529347
55,25.81013374604583,1.9675303006243996,2.940053711596556,26.022359636773267,2.75273677595881,5.258385065706312
56,25.781138500760914,1.8835112687610158,2.8432248141143193,25.992054475212985,2.644344780443708,5.038847383139018
57,25.745558495918385,1.8291766569887624,2.753276797236899,25.95934616094113,2.535845346616316,4.827980529986205
58,25.711818323385977,1.7915366096748726,2.608656135469904,25.92781221375206,2.4296609555156423,4.605038761096789
59,25.681839700389773,1.7635486718336368,2.49251290910967,25.898285032642665,2.3322985673497283,4.426595931902533
60,25.65109773452452,1.7182112569673982,2.423104975372664,25.868586643842665,2.2538412255528817,4.25233571141661
61,25.624855375181788,1.6749620838850703,2.3186037961939583,25.837625386866133,2.168398289734989,4.083254935280912
62,25.594383949914423,1.6357788650772336,2.241220768216855,25.805933285844112,2.0932547324140676,3.932062047402981
63,25.55777479215365,1.5940313633363368,2.1796882233556203,25.775994265474488,2.03098787808623,3.773486851158126
64,25.52764530308504,1.5653801627539474,2.1132271311484936,25.746054308056294,1.9737246906946213,3.6302444243443888
65,25.49671690528162,1.5429519586771878,2.0591865787551447,25.716166406216274,1.9201821458981672,3.4816594379500607
66,25.47257930895569,1.5156134621720283,2.013247779142345,25.68512761805507,1.8697238815592048,3.345262792381068
67,25.441618154400917,1.4924051947360812,1.9559580147773423,25.654067095378597,1.8239116565248636,3.160547496869401
68,25.407876043881807,1.4669738343546594,1.9003644270159634,25.623171324973395,1.7821496782862105,3.0471284597398913
69,25.377432808971843,1.4399651463127339,1.8658873664952682,25.59453185808184,1.7360970669930123,2.909715142486314
70,25.344766374163083,1.406476642467193,1.79374941940054,25.56503052609319,1.6896202421606166,2.8096301002452067
71,25.31840556578128,1.3757758337538195,1.7533880249689886,25.533458893277338,1.654229095962229,2.7188047677299
72,25.288459679155135,1.3530778581837142,1.7227974758361966,25.502735554798917,1.6207487075342308,2.6203143968480207
73,25.256870962541804,1.325450693882603,1.698288676567486,25.471680170229316,1.5885695767657453,2.530297236268706
74,25.230170149811293,1.3022040227903238,1.6681232048133217,25.4416085704529,1.5613478177969156,2.4489219962278836
75,25.197083337937283,1.2609599609686464,1.642105412591449,25.41150514523187,1.5342050389598316,2.3673852340446677
76,25.16229568569721,1.2192090646796179,1.6180004170804516,25.381472128896824,1.5114822442238167,2.292331455555323
77,25.13602403076288,1.1986309800591355,1.5857198778342882,25.351051806778983,1.4831144005614412,2.2292473767827845
78,25.10177375172567,1.182799099326112,1.5467690941492247,25.320833257309538,1.4586225532904873,2.1646066440635803
79,25.082982077323408,1.1623201973850914,1.5222238031435904,25.291569889447793,1.4374639014277728,2.111125394455345
80,25.048017050073923,1.1468031922704345,1.491144203371509,25.261962884801154,1.3937081720831281,2.056347211286462
81,25.021701742734,1.1262596266332858,1.4652731207191996,25.23237268001947,1.3741079952226876,2.0058666196910844
82,24.98159229506189,1.1034386029943064,1.4215747909575558,25.203187770788603,1.3523830335470968,1.9385342155890952
83,24.95816293845227,1.0799541796434382,1.3977635234444403,25.173077255876134,1.3288862453337424,1.891560874528659
84,24.92865670432333,1.0622216586270754,1.3703409400396163,25.142923623997493,1.3110052965387071,1.8478450987357078
85,24.90011332774593,1.048158493126994,1.3524260870439035,25.11367968361192,1.2954317244831188,1.8112738089064462
86,24.87328263089337,1.032584289844545,1.3375032452367808,25.085741066407586,1.2811173668863025,1.7680389185382177
87,24.841945558594592,1.0115758228480773,1.2975538646097908,25.056284269220765,1.2666500526680786,1.7296300284708883
88,24.805753074620835,0.9910283338673423,1.2853988111318828,25.0260350083228,1.226987149960496,1.6948306701439098
89,24.77857194700116,0.9809562840859323,1.2363406496931828,24.996590968295585,1.2093043751098422,1.6620317338305222
90,24.749449791354365,0.9666226741089752,1.219263854551,24.966713741547405,1.1946181860450722,1.6306912967492808
